"Statistic","Sex","Ethnicity","Cause of Death","Age Group","UNIT","2017","2018","2019","2020","2021","2022"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","All ages","Number","655","666","666","686","719","723"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","Under 5 years","Number","78","69","72","73","76","74"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","5 - 19 years","Number","13","14","15","14","13","14"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","20 - 39 years","Number","66","68","67","68","64","57"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","40 - 64 years","Number","325","335","333","328","345","323"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","65 - 69 years","Number","1142","1214","1130","1124","1155","1121"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","70 - 74 years","Number","1976","1934","1927","1974","1968","1936"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","75 - 79 years","Number","3543","3450","3268","3293","3429","3477"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","80 - 84 years","Number","6221","6082","5951","6176","6307","6299"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","85 years and over","Number","14905","14707","14439","14332","14575","14413"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","64 years and under","Number","148","153","154","154","161","152"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","All deaths","65 years and over","Number","3930","3882","3788","3837","3936","3924"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","All ages","Number","6","6","5","6","6","7"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","Under 5 years","Number","2","0","2","0","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","20 - 39 years","Number","1","1","0","0","0","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","40 - 64 years","Number","4","3","2","2","3","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","65 - 69 years","Number","10","12","7","11","2","7"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","70 - 74 years","Number","21","17","14","13","16","18"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","75 - 79 years","Number","26","34","20","19","25","34"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","80 - 84 years","Number","61","72","41","51","50","66"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","85 years and over","Number","123","126","156","136","150","174"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","64 years and under","Number","2","1","1","1","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","A00-B99 Infectious and parasitic diseases","65 years and over","Number","34","36","32","33","32","41"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","All ages","Number","198","199","205","204","203","211"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","Under 5 years","Number","3","3","2","3","2","3"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","5 - 19 years","Number","2","2","2","2","2","4"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","20 - 39 years","Number","13","11","11","11","9","13"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","40 - 64 years","Number","145","143","143","139","136","138"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","65 - 69 years","Number","540","548","527","516","497","516"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","70 - 74 years","Number","867","837","847","839","800","791"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","75 - 79 years","Number","1287","1241","1206","1181","1158","1201"
