"Sex","Year","Statistic","UNIT","All ages"
"Both sexes","1926","Population","Number","2971992"
"Both sexes","1936","Population","Number","2968420"
"Both sexes","1946","Population","Number","2955107"
"Both sexes","1951","Population","Number","2960593"
"Both sexes","1961","Population","Number","2818341"
"Both sexes","1966","Population","Number","2884002"
"Both sexes","1971","Population","Number","2978248"
"Both sexes","1979","Population","Number","3368217"
"Both sexes","1981","Population","Number","3443405"
"Both sexes","1986","Population","Number","3540643"
"Both sexes","1991","Population","Number","3525719"
"Both sexes","1996","Population","Number","3626087"
"Both sexes","2002","Population","Number","3917203"
"Both sexes","2006","Population","Number","4239848"
"Both sexes","2011","Population","Number","4588252"
"Both sexes","2016","Population","Number","4761865"
