"Statistic","County","Year","UNIT","Ireland (Republic): County of Enumeration","Other County"
"Population","State","1926","Number","2471350","398434"
"Population","State","1936","Number","2496558","371227"
"Population","State","1946","Number","2455470","400760"
"Population","State","1961","Number","2321811","397579"
"Population","State","1971","Number","2399332","441620"
"Population","State","1981","Number","2604853","606167"
"Population","State","1986","Number","2676045","640598"
"Population","State","1991","Number","2626053","670941"
"Population","State","1996","Number","2670280","684630"
"Population","State","2002","Number","2695033","773691"
"Population","State","2006","Number","2707918","861829"
"Population","State","2011","Number","2817100","952482"
"Population","State","2016","Number","2886921","1005721"
