"Age Group","Sex","Statistic","UNIT","1926","1936","1946","1951","1961","1966","1971","1979","1981","1986","1991","1996","2002","2006","2011","2016"
"Under 1 year","Both sexes","Population","Number","55391","53606","66081","63557","62772","63589","64886","71353","73379","61172","53044","48854","54499","61076","72410","62257"
"1 - 4 years","Both sexes","Population","Number","232322","214660","228684","249275","238018","252342","250769","272122","279625","262906","220699","201540","223131","241176","283919","269258"
"5 - 9 years","Both sexes","Population","Number","284633","269345","265914","281043","287668","298990","316940","350140","349487","350650","318503","282943","264090","288325","320770","355561"
"10 - 14 years","Both sexes","Population","Number","295533","282783","262328","260935","288801","285475","298557","336293","341238","349973","348328","326087","285708","273872","302491","319476"
"15 - 19 years","Both sexes","Population","Number","286187","268326","251487","241182","233832","259356","267727","317368","326429","331100","335026","339536","313188","290257","283019","302816"
"20 - 24 years","Both sexes","Population","Number","240231","254513","231290","202172","158007","185289","215251","266271","276127","286424","266572","293354","328334","342475","297231","273636"
"25 - 29 years","Both sexes","Population","Number","215401","216785","208188","198421","145377","149317","172993","239426","246053","258439","246321","259045","312693","373078","361122","297435"
"30 - 34 years","Both sexes","Population","Number","183300","183284","204696","191566","152787","146625","151351","220116","231958","242689","249071","260929","304676","349361","393945","361975"
"35 - 39 years","Both sexes","Population","Number","175759","192420","191882","200916","166793","154272","149107","178478","193829","229740","237889","255676","290906","322105","364261","389421"
"40 - 44 years","Both sexes","Population","Number","169085","162905","165597","180326","170293","163362","152729","159407","165924","191751","225683","240441","271984","301329","330812","357460"
"45 - 49 years","Both sexes","Population","Number","168893","156583","173062","160915","174625","166517","160124","152441","151850","161740","187762","225400","249604","274745","305185","326110"
"50 - 54 years","Both sexes","Population","Number","162718","152707","137492","162986","157122","164957","159082","151686","149680","147511","156806","186647","230843","247068","274386","299935"
"55 - 59 years","Both sexes","Population","Number","125713","143441","134859","128848","136123","147064","154847","154065","149606","142215","142549","153807","197294","225328","244522","270102"
"60 - 64 years","Both sexes","Population","Number","105146","130378","119225","122060","131060","123840","134066","137676","139266","139978","134566","137946","154252","181727","218786","238856"
"65 - 69 years","Both sexes","Population","Number","101212","113001","114531","107548","103488","114226","111751","133787","133919","129498","130752","126809","133474","143396","173638","211236"
"70 - 74 years","Both sexes","Population","Number","82246","85940","99910","100116","92790","90099","98986","98284","103138","110996","109325","112542","112129","119152","131190","162272"
"75 - 79 years","Both sexes","Population","Number","45967","52988","60502","64555","63210","62801","61775","68856","68451","75519","84082","84097","89815","92466","102036","115467"
"80 - 84 years","Both sexes","Population","Number","27397","23250","26142","30887","37040","35584","36375","37987","40462","42884","49301","55771","58857","64884","70113","81037"
"85 years and over","Both sexes","Population","Number","14858","11505","13237","13285","18535","20297","20932","22461","22984","25458","29440","34663","41726","48028","58416","67555"
