"Sex","Year","Statistic","UNIT","Under 1 year","1 - 4 years","5 - 9 years","10 - 14 years","15 - 19 years","20 - 24 years","25 - 29 years","30 - 34 years","35 - 39 years","40 - 44 years","45 - 49 years","50 - 54 years","55 - 59 years","60 - 64 years","65 - 69 years","70 - 74 years","75 - 79 years","80 - 84 years","85 years and over"
"Both sexes","1926","Population","Number","55391","232322","284633","295533","286187","240231","215401","183300","175759","169085","168893","162718","125713","105146","101212","82246","45967","27397","14858"
"Both sexes","1936","Population","Number","53606","214660","269345","282783","268326","254513","216785","183284","192420","162905","156583","152707","143441","130378","113001","85940","52988","23250","11505"
"Both sexes","1946","Population","Number","66081","228684","265914","262328","251487","231290","208188","204696","191882","165597","173062","137492","134859","119225","114531","99910","60502","26142","13237"
"Both sexes","1951","Population","Number","63557","249275","281043","260935","241182","202172","198421","191566","200916","180326","160915","162986","128848","122060","107548","100116","64555","30887","13285"
"Both sexes","1961","Population","Number","62772","238018","287668","288801","233832","158007","145377","152787","166793","170293","174625","157122","136123","131060","103488","92790","63210","37040","18535"
"Both sexes","1966","Population","Number","63589","252342","298990","285475","259356","185289","149317","146625","154272","163362","166517","164957","147064","123840","114226","90099","62801","35584","20297"
"Both sexes","1971","Population","Number","64886","250769","316940","298557","267727","215251","172993","151351","149107","152729","160124","159082","154847","134066","111751","98986","61775","36375","20932"
"Both sexes","1979","Population","Number","71353","272122","350140","336293","317368","266271","239426","220116","178478","159407","152441","151686","154065","137676","133787","98284","68856","37987","22461"
"Both sexes","1981","Population","Number","73379","279625","349487","341238","326429","276127","246053","231958","193829","165924","151850","149680","149606","139266","133919","103138","68451","40462","22984"
"Both sexes","1986","Population","Number","61172","262906","350650","349973","331100","286424","258439","242689","229740","191751","161740","147511","142215","139978","129498","110996","75519","42884","25458"
"Both sexes","1991","Population","Number","53044","220699","318503","348328","335026","266572","246321","249071","237889","225683","187762","156806","142549","134566","130752","109325","84082","49301","29440"
"Both sexes","1996","Population","Number","48854","201540","282943","326087","339536","293354","259045","260929","255676","240441","225400","186647","153807","137946","126809","112542","84097","55771","34663"
"Both sexes","2002","Population","Number","54499","223131","264090","285708","313188","328334","312693","304676","290906","271984","249604","230843","197294","154252","133474","112129","89815","58857","41726"
"Both sexes","2006","Population","Number","61076","241176","288325","273872","290257","342475","373078","349361","322105","301329","274745","247068","225328","181727","143396","119152","92466","64884","48028"
"Both sexes","2011","Population","Number","72410","283919","320770","302491","283019","297231","361122","393945","364261","330812","305185","274386","244522","218786","173638","131190","102036","70113","58416"
"Both sexes","2016","Population","Number","62257","269258","355561","319476","302816","273636","297435","361975","389421","357460","326110","299935","270102","238856","211236","162272","115467","81037","67555"
